                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2849,                0.76699,                 1.2538,                0.89679,                0.85182,                0.92023,                0.55466,                 1.3772,                 0.6853,                 1.2906,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2765,                0.76284,                  1.258,                0.90281,                0.85882,                0.92249,                 0.5666,                 1.3437,                0.68666,                 1.2791,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2805,                0.76252,                 1.2599,                0.90494,                0.85686,                0.92059,                0.56608,                 1.3473,                0.68902,                 1.2783,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2714,                0.75283,                 1.2556,                0.88813,                0.86078,                0.92296,                   0.56,                 1.3707,                 0.6799,                 1.2778,               0.000911,               0.000911,               0.000911
                     57,                 1.2712,                0.75203,                 1.2465,                0.90981,                0.86863,                0.92827,                0.56561,                 1.3404,                0.65993,                 1.2616,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2591,                0.73725,                 1.2432,                0.91661,                0.85132,                0.93045,                0.56129,                 1.3603,                0.67253,                 1.2752,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2599,                0.73886,                 1.2403,                0.92384,                 0.8444,                0.92658,                0.57133,                 1.3361,                0.66032,                 1.2622,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.255,                0.73044,                 1.2431,                 0.9101,                0.85355,                0.93227,                0.57609,                 1.3143,                0.65127,                 1.2536,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2437,                0.72344,                 1.2358,                0.90462,                0.85294,                0.92563,                0.56936,                 1.3516,                0.66639,                 1.2727,               0.000812,               0.000812,               0.000812
                     62,                 1.2432,                0.72965,                  1.234,                0.92055,                0.86275,                0.93143,                0.58256,                 1.3167,                0.64426,                 1.2596,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2371,                0.72218,                 1.2335,                0.91897,                   0.85,                0.92923,                0.57791,                  1.326,                0.65341,                 1.2588,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2476,                0.72057,                 1.2292,                0.93888,                0.85784,                 0.9336,                0.58142,                 1.3134,                0.63725,                 1.2529,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2235,                0.70888,                 1.2269,                0.92978,                0.86972,                0.93811,                0.58676,                 1.3188,                 0.6311,                 1.2543,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2193,                0.70053,                 1.2162,                0.93719,                0.86303,                0.93795,                0.58354,                 1.3141,                0.63608,                 1.2559,               0.000713,               0.000713,               0.000713
                     67,                   1.21,                0.69432,                  1.214,                0.92689,                0.85784,                0.93629,                0.57559,                 1.3343,                0.63545,                 1.2607,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2165,                0.69578,                 1.2179,                0.90873,                0.87549,                0.93575,                0.59352,                 1.2834,                0.61688,                 1.2316,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2094,                0.69399,                 1.2123,                0.92686,                 0.8697,                0.93727,                0.58893,                 1.2936,                0.61773,                 1.2331,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.2081,                0.68391,                 1.2096,                0.93014,                0.86146,                0.93683,                0.59065,                 1.2837,                0.61865,                 1.2361,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2016,                 0.6847,                 1.2161,                0.92409,                0.87255,                 0.9369,                0.58736,                 1.3053,                0.61999,                 1.2529,               0.000614,               0.000614,               0.000614
                     72,                 1.1825,                 0.6718,                 1.1986,                0.90348,                 0.8902,                0.93797,                0.58928,                 1.3065,                0.61569,                 1.2439,              0.0005942,              0.0005942,              0.0005942
